species_name,Order,Family,genus,generic_epithet_length,specific_epithet,specific_epithet_length,species_name_length,authors,number_of_authors,year_of_publication,Etymologies_group,Etymologies_subgroup,Language,Environment
"Acanthodasys capricornicus Minowa, Guidi, Garraffoni, Bosco, 2026",Macrodasyida,Thaumastodermatidae,Acanthodasys,12,capricornicus,13,25,"Minowa, Guidi, Garraffoni, Bosco",4,2026,G,G2,Latin,Marine
"Setopus pentasetosus Saponi, Cesaretti, Kosakyan, Serra, Todaro, 2026",Paucitubulatina,Dasydytidae,Setopus,7,pentasetosus,12,19,"Saponi, Cesaretti, Kosakyan, Serra, Todaro",5,2026,M,M2,Latin+Greek,Freshwater
"Kryptodasys smithsonian Araújo, Hochberg, 2026",Macrodasyida,Macrodasyidae,Kryptodasys,11,smithsonian,11,22,"Araújo, Hochberg",2,2026,P,P5,English,Marine
"Chaetonotus tobiasi Minowa, Kreutz, Garraffoni, 2026",Paucitubulatina,Chaetonotidae,Chaetonotus,11,tobiasi,7,18,"Minowa, Kreutz, Garraffoni",3,2026,P,P1,Swedish Latinisation,Freshwater
"Chaetonotus grossoi Minowa, Acosta-Salgado, Garraffoni, 2026",Paucitubulatina,Chaetonotidae,Chaetonotus,11,grossoi,7,18,"Minowa, Acosta-Salgado, Garraffoni",3,2026,P,P1,Spanish Latinisation,Freshwater
"Carianotus dives Minowa, Kieneke, Balsamo, Guidi, Garraffoni, 2025",Paucitubulatina,Chaetonotidae,Carianotus,10,dives,5,15,"Minowa, Kieneke, Balsamo, Guidi, Garraffoni",5,2025,C,C,Latin,Freshwater
"Dendroichthydium ibyrapora Minowa, Kieneke, Campos, Balsamo, Plewka, Guidi, Araújo, Garraffoni, 2025",Paucitubulatina,Chaetonotidae,Dendroichthydium,16,ibyrapora,9,25,"Minowa, Kieneke, Campos, Balsamo, Plewka, Guidi, Araújo, Garraffoni",8,2025,E,E2,Nheengatu,Freshwater
"Ornamentula sanctipetri Sochiarelli, Minowa, Garraffoni, 2025",Paucitubulatina,Dasydytidae,Ornamentula,11,sanctipetri,11,22,"Sochiarelli, Minowa, Garraffoni",3,2025,G,G2,Latin,Freshwater
"Lepidodermella pirakitan Minowa, Acosta-Salgado, Garraffoni, 2025",Paucitubulatina,Chaetonotidae,Lepidodermella,14,pirakitan,9,23,"Minowa, Acosta-Salgado, Garraffoni",3,2025,M,M2,Nheengatu,Freshwater
"Paraturbanella anastaciae Campos, Araújo, Todaro, Garraffoni, 2025",Macrodasyida,Turbanellidae,Paraturbanella,14,anastaciae,10,24,"Campos, Araújo, Todaro, Garraffoni",4,2025,P,P3,Latin,Marine
"Musellifer leasiae Sørensen, Araújo, Macheriotou, Braeckman, Smith, Ingels, 2025",Paucitubulatina,Muselliferidae,Musellifer,10,leasiae,7,17,"Sørensen, Araújo, Macheriotou, Braeckman, Smith, Ingels",6,2025,P,P1,French Latinisation,Marine
