"country","color","continent"
"South Africa","#756bb1","Africa"
"Argentina","#2ca25f","Americas"
"Brazil","#31a354","Americas"
"Canada","#74c476","Americas"
"Colombia","#006d2c","Americas"
"United States","#238b45","Americas"
"Uruguay","#66c2a4","Americas"
"Armenia","#fc8d59","Asia"
"India","#ef6548","Asia"
"Israel","#fb6a4a","Asia"
"Japan","#de2d26","Asia"
"Russia","#cb181d","Asia"
"South Korea","#f16913","Asia"
"Austria","#3182bd","Europe"
"Belgium","#6baed6","Europe"
"Bulgaria","#9ecae1","Europe"
"Denmark","#08519c","Europe"
"Finland","#4292c6","Europe"
"France","#2171b5","Europe"
"Germany","#084594","Europe"
"Hungary","#6baed6","Europe"
"Italy","#2b8cbe","Europe"
"Norway","#4a90d9","Europe"
"Poland","#3b8bc2","Europe"
"Romania","#5aa3d6","Europe"
"Slovakia","#7db7e8","Europe"
"Sweden","#1f78b4","Europe"
"Switzerland","#377eb8","Europe"
"United Kingdom","#225ea8","Europe"
"Australia","#fdae6b","Oceania"
"Unknown","grey60","Other"
