surname,author_nationality,author_gender,notes,species_names,eponyms,eponym_nationality,eponym_gender,
Acosta-Salgado,Colombia,Female,,"Tetranchyroderma adeleae Hochberg, 2008",adeleae,United States,Female,
Adrianov,Russia,Male,,"Paraturbanella anastaciae Campos, Araújo, Todaro, Garraffoni, 2025",anastaciae,Brazil,Female,
Ancona,Italy,Female,,"Polymerurus andreae Hochberg, 2005",andreae,Australia,Female,
Anderson,United States,Male,,"Diplodasys ankeli Wilke, 1954",ankeli,Germany,Male,"Diplodasys ankeli Wilke, 1954. No etymology specified, but the name most likely honours Prof. Ankel: ""Mein hochverehrter Lehrer, Herr Prof. Dr. W.E. Ankel hat mich stets mit... danke ich ihm auf das herzlichste."""
Araújo,Brazil,Male,,"Chaetonotus annae Schwank, 1990",annae,Germany,Female,
Atherton,United States,Female,,"Chaetonotus antipai Rodewal, 1938",antipai,Romania,Male,
Balsamo,Italy,Female,,"Oregodasys ashleigha Araújo, Atherton, Hochberg, 2015",ashleigha,United States,Female,
Beauchamp,France,Male,,"Dactylopodola axi Gilsa, Kieneke, Hochberg, Schmidt-Rhaesa, 2014/Heterolepidoderma axi Mock, 1979",axi,Germany,Male,
Bernhard,United States,Female,,"Chaetonotus balsamoae Kisielewski, 1997",balsamoae,Italy,Female,
Boaden,United Kingdom,Male,,"Chaetonotus beauchampi d'Hondt, 1967",beauchampi,France,Male,
Bosco,Brazil,Female,,"Polymerurus biroi (Daday, 1901)",biroi,Germany,Male,
Bownes,South Africa,Female,,"Tetranchyroderma boadeni Schrom, 1970/Paraturbanella boadeni Rao, Ganapati, 1968",boadeni,United Kingdom,Male,
Braeckman,Belgium,Female,,"Turbanella bocqueti Kaplan, 1958",bocqueti,France,Male,
Brehm,Austria,Male,"In Brehm (1917) the heading is followed by ""Von Dr. V. BREHM, Eger."" Eger (city) belonged to the Austro-Hungarian Empire until the end of WWI. Then it was part of Czechoslovakia until it was awarded to the German Empire (nazi regime) on September 30, 1938 by the Munich Agreement. I think we can consider Brehm's nationality as Austrian. But the gender is still unclear... After reading this explanation, I could find this page  https://de.wikipedia.org/wiki/Vincenz_Brehm","Chaetonotus bogdanovii (Schimkewitsch, 1886)",bogdanovii,Russia,Male,
Brunson,United States,Male,,"Aspidiophorus brahmsi Grosso,1973",brahmsi,,,"Aspidiophorus brahmsi Grosso,1973"
Campos,Brazil,Female,,"Turbanella brusci Hochberg, 2002",brusci,United States,Male,
Cesaretti,Italy,Female,,"Macrodasys buddenbrocki Remane, 1924",buddenbrocki,Germany,Male,
Chang,South Korea,Male,,"Tetranchyroderma bunti (Thane-Fenchel, 1970)",bunti,Australia,Male,
Claparède,Switzerland,Male,,"Thaumastoderma cantacuzeni Lévi, 1958",cantacuzeni,Romania,Male,"Thaumastoderma cantacuzeni Lévi, 1958. This new species of Thaumatoderma comes from a sample of coarse sand collected by Mr. CANTACUZENE. Cantacuzino (French: Cantacuzène) is a Romanian aristocratic family (see https://en.wikipedia.org/wiki/Cantacuzino_family). One prince was even a famous racing driver (see https://de.wikipedia.org/wiki/Gheorghe_Ghyka_Cantacuzene). The lifetime of the latter fits to the species description..."
Clausen,Norway,Male,,"Kryptodasys carlosrochai Todaro, Dal Zotto, Kånneby, Hochberg, 2019",carlosrochai,Brazil,Male,
Collin,Germany ,Male,Antun Collin,"Dasydytes carvalhoae Kisielewski, 1991",carvalhoae,Brazil,Male,
Cordero,Uruguay,Male,,"Chaetonotus christianus Schwank, 1990",christianus,Germany,Male,
d'Hondt,France,Male,,"Chaetonotus chuni Voigt, 1901",chuni,Germany,Male,
Dabert,Poland,Female,,"Crasiella clauseni Lee, Chang, 2012",clauseni,Norway,Male,
Daday,Hungary,Male,,"Chitonodytes collini (Remane, 1927)",collini,Germany,Male,"Chitonodytes collini (Remane, 1927)"
Dal Zotto,Italy,Male,,"Turbanella corderoi Dioni, 1960/Chaetonotus corderoi Schwank, 1990",corderoi,Uruguay,Male,
Davison,United States,Male,,"Chaetonotus dadayi Schwank, 1990",dadayi,Germany,Male,
De Zio-Grimaldi,Italy,Female,,"Musellifer delamarei (Renaud-Mornant, 1968)",delamarei,France,Male,
Di Domenico,Brazil,Male,,"Heterolepidoderma dimentmani Kisielewski, 1999",dimentmani,Israel,Male,
Dioni,Uruguay,Female,,"Paraturbanella dohrni Remane, 1927",dohrni,Germany,Male,
Drahg,Argentina,Male,,"Tetranchyroderma dragescoi Swedmark, 1967",dragescoi,France,Male,
Dujardin,France,Male,,"Chaetonotus dybowskii Jakubski, 1919",dybowskii,Poland,Male,
Ehrenberg,Germany,Male,,"Polymerurus entzii (Daday, 1882)",entzii,Hungary,Male,
Evans,United States,Male,,"Chaetonotus fenchelae d'Hondt, 1974",fenchelae,United States,Female,
Faienza,Italy,Female,,"Crasiella fonseci Hochberg, 2014",fonseci,Brazil,Male,
Fize,France,Female,,"Macrodasys fornerisae Todaro, Rocha, 2004",fornerisae,Brazil,Female,
Forneris,Brazil,Female,,"Redudasys fornerise Kisielewski, 1987",fornerise,Brazil,Female,
Fregni,Italy,Female,,"Tetranchyroderma garraffoni Araújo, Hochberg, 2017",garraffoni,Brazil,Male,
