generic_epithet;Authors
Acanthodasys;Remane, 1927
Anacanthoderma;Marcolongo, 1910
Anandrodasys;Todaro, Dal Zotto, Jondelius, Hochberg, Hummon, Kanneby, Rocha, 2012
Arenotus;Kisielewski, 1987
Aspidiophorus;Voigt, 1903
Bifidochaetus;Kolicka, Kisielewski, 2016
Carianotus;Minowa, Kieneke, Balsamo, Guidi, Garraffoni, 2025
Caudichthydium;Schwank, 1990
Cephalionotus;Garraffoni, Araújo, Lourenço, Guidi, Balsamo, 2017
Cephalodasys;Remane, 1926
Chaetonotus;Ehrenberg, 1830
Chimaeradasys;Kieneke, Todaro, 2020
Chitonodytes;Remane, 1936
Chordodasiopsis;Todaro et al, 2006
Crasiella;Clausen, 1968
Dactylopodola;Strand, 1929
Dasydytes;Gosse, 1851
Dendrodasys;Wilke, 1954
Dendroichthydium;Minowa, Kieneke, Campos, Balsamo, Plewka, Guidi, Araújo, Garraffoni, 2025
Dendropodola;Hummon, Todaro, Tongiorgi, 1993
Desmodasys;Clausen, 1965
Dichaetura;Lauterborn, 1913
Dinodasys;Remane, 1927
Diplodasys;Remane, 1927
Diuronotus;Todaro, Balsamo, Kristensen, 2005
Dolichodasys;Gagne, 1977
Draculiciteria;Hummon, 1974
Fluxiderma;d'Hondt, 1974
Halichaetoderma;Rataj Krizanova, Vdacny, 2023
Halichaetonotus;Remane, 1936
Haltidytes;Remane, 1936
Hemidasys;Claparède, 1867
Heterolepidoderma;Remane, 1927
Heteroxenotrichula;Wilke, 1954
Hummondasys;Todaro, Leasi, Hochberg, 2014
Ichthydium;Ehrenberg, 1830
Kijanebalola;Beauchamp, 1932
Kryptodasys;Todaro, Dal Zotto, Kånneby, Hochberg, 2019
Lepidochaetus;Kisielewski, 1991
Lepidodasys;Remane, 1926
Lepidodermella;Blake, 1933
Litigonotus;Gammuto, Serra, Petroni & Todaro, 2024
Macrodasys;Remane, 1924
Marinellina;Ruttner-Kolisko, 1955
Megadasys;Schmidt, 1974
Mesodasys;Remane, 1951
Musellifer;Hummon, 1969
Neodasys;Remane, 1927
Neogossea;Remane, 1927
Oregodasys;Hummon, 2008
Ornamentula;Kisielewski, 1991
Paradasys;Remane, 1934
Paraturbanella;Remane, 1927
Planodasys;Rao, 1970
Pleurodasys;Remane, 1927
Polymerurus;Remane, 1926
Proichthydium;Cordero, 1918
Proicthydioides;Sudzuki, 1971
Prostobuccantia;Evans, Hummon, 1991
Pseudostomella;Swedmark, 1956
Pseudoturbanella;d'Hondt, 1968
Ptychostomella;Remane, 1926
Redudasys;Kisielewski, 1987
Rhomballichthys;Schwank, 1990
Setopus;Grunspan, 1908
Stylochaeta;Hlava, 1904
Tetranchyroderma;Remane, 1926
Thaidasys;Todaro, Dal Zotto, Leasi, 2015
Thaumastoderma;Remane, 1926
Turbanella;Schultze, 1853
Undula;Kisielewski, 1991
Urodasys;Remane, 1926
Xenodasys;Swedmark, 1967
Xenotrichula;Remane, 1927
